customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,Customer_phone,Customer_since
130,Krystal,hawkinsjason@example.org,Silver,1156,2026-02-01,New,(450)773-7452x2146,2025-03-19
131,Brandon,matthewwaters@example.org,Gold,4330,2026-02-01,New,001-686-825-1975x75510,2025-02-10
132,William,alvaradoann@example.net,Bronze,953,2026-02-01,Loyal,5782115958,2024-03-05
133,Jason,andrew67@example.org,Gold,3301,2026-02-01,New,001-437-629-1770,2025-12-02
134,Austin,qmorales@example.net,Bronze,1191,2026-02-01,AR,(242)812-8174x5280,2025-11-09
135,Judy,ryan49@example.org,Bronze,2681,2026-02-01,AR,272-689-9261x0857,2026-01-02
136,Samuel,dodsoncatherine@example.org,Bronze,3236,2026-02-01,AR,+1-660-382-0806x037,2024-03-29
137,Nathan,brian77@example.com,Platinum,1388,2026-02-01,HS,(368)201-1555,2025-04-10
138,Jessica,steventhompson@example.net,Gold,1680,2026-02-01,New,(854)339-2680,2024-11-17
139,James,agriffin@example.org,Gold,1324,2026-02-01,Loyal,446.358.2901,2025-11-27
140,Margaret,singletoncarl@example.net,Bronze,3486,2026-02-01,New,(606)767-0852x5496,2025-07-09
141,Angela,bryantmegan@example.com,Silver,2214,2026-02-01,New,(767)846-4414x1347,2025-09-20
142,Angelica,gsanders@example.org,Bronze,3602,2026-02-01,New,(683)395-3653,2024-11-23
143,Melissa,elizabeth83@example.net,Bronze,4268,2026-02-01,HS,269.306.7871,2024-08-21
144,Timothy,loweeric@example.org,Bronze,3709,2026-02-01,AR,968-365-9303,2024-06-15
145,Mary,johnny35@example.net,Silver,455,2026-02-01,HS,610.577.4205,2024-12-30
146,Rachel,amy46@example.net,Gold,1958,2026-02-01,HS,001-556-321-9080x570,2025-02-08
147,Andrew,jmiller@example.org,Silver,4285,2026-02-01,HS,(745)903-2628x368,2025-03-21
148,Eric,xbrady@example.com,Bronze,3440,2026-02-01,HS,340.859.9371,2025-01-11
149,Diana,reynoldszachary@example.com,Gold,133,2026-02-01,AR,795.387.7353x0220,2024-04-24
150,Mario,wowens@example.org,Bronze,1852,2026-02-01,New,(828)243-8763,2024-09-28
151,Elizabeth,evan38@example.net,Gold,2933,2026-02-01,HS,(249)818-5187,2025-12-02
152,Shannon,danielle74@example.net,Platinum,1250,2026-02-01,New,600.772.5188x463,2024-02-17
153,William,woodsteve@example.net,Platinum,1256,2026-02-01,HS,550-551-9547,2026-01-23
154,Chelsea,ogarcia@example.com,Silver,3486,2026-02-01,HS,623.951.9668,2024-07-18
155,Pamela,robynballard@example.net,Silver,3330,2026-02-01,Loyal,451.693.8446x9997,2025-01-29
156,Amanda,andreamoore@example.org,Silver,1353,2026-02-01,Loyal,5237517687,2024-08-04
157,Derek,melissa08@example.org,Bronze,357,2026-02-01,Loyal,772.656.0101x858,2025-05-24
158,Mason,morrisjoshua@example.net,Bronze,4468,2026-02-01,Loyal,771.423.1968x52647,2026-01-12
159,Scott,nmartinez@example.net,Bronze,4185,2026-02-01,Loyal,(766)644-8803x31680,2024-03-24
160,Miguel,ubates@example.net,Bronze,539,2026-02-01,Loyal,+1-276-892-4473x72818,2025-12-30
161,Erin,aaronmay@example.com,Bronze,4835,2026-02-01,Loyal,6126655112,2025-12-21
162,Lisa,ramosbruce@example.org,Bronze,2508,2026-02-01,Loyal,(209)844-7386x2404,2025-04-08
163,Sierra,scott93@example.org,Bronze,2956,2026-02-01,AR,4279881473,2024-04-25
164,Danielle,qmcconnell@example.com,Bronze,4485,2026-02-01,AR,(390)854-6403x98159,2025-09-26
165,Janet,amanda00@example.com,Bronze,4804,2026-02-01,New,311.449.3485x9290,2024-05-24
166,Kyle,josechen@example.com,Gold,9,2026-02-01,Loyal,001-893-259-5597,2025-03-22
167,Willie,higginsyesenia@example.net,Gold,4972,2026-02-01,HS,(916)371-1721x707,2024-02-04
168,Theodore,dylan30@example.com,Bronze,1824,2026-02-01,AR,633.409.1034x1745,2025-04-13
169,Richard,toddlane@example.com,Gold,223,2026-02-01,New,872-772-8934,2025-01-30
170,Regina,christine68@example.net,Bronze,4948,2026-02-01,AR,001-731-530-0309x3257,2025-12-30
171,Kristine,philliplara@example.com,Bronze,3925,2026-02-01,New,505.451.5711,2024-04-12
172,Joseph,hallamanda@example.org,Gold,4000,2026-02-01,AR,001-588-695-6252,2026-01-20
173,Gabrielle,troy33@example.com,Bronze,510,2026-02-01,HS,296-643-9889,2024-05-15
174,Kirsten,cynthiajones@example.org,Bronze,4613,2026-02-01,Loyal,+1-777-688-3090x7199,2025-03-21
175,Ryan,jessicagreer@example.com,Gold,1668,2026-02-01,AR,569-342-4368x3313,2024-04-02
176,Raymond,carlyhumphrey@example.com,Gold,3636,2026-02-01,HS,+1-975-290-6694x86914,2024-03-22
177,Crystal,jackiewillis@example.net,Silver,4178,2026-02-01,HS,484.578.5599,2024-09-23
178,Nicholas,kevin54@example.org,Bronze,2048,2026-02-01,New,(365)673-1343x0307,2025-02-02
179,Joel,wturner@example.org,Bronze,4544,2026-02-01,HS,688.531.3303,2025-07-23
180,Jeffrey,uoliver@example.org,Silver,2081,2026-02-01,Loyal,+1-204-638-5524x8737,2024-11-10
181,Christopher,michael00@example.net,Bronze,1574,2026-02-01,AR,+1-206-495-4511x7945,2024-03-07
182,Lisa,jordan52@example.org,Bronze,4533,2026-02-01,AR,(274)582-5236x262,2025-08-06
183,John,vanessawright@example.org,Gold,4363,2026-02-01,HS,(201)835-8786,2024-05-17
184,Patricia,victor94@example.net,Silver,388,2026-02-01,AR,001-975-706-3459x6764,2025-09-10
185,Corey,jennifer16@example.com,Gold,1848,2026-02-01,HS,657-621-6449x81399,2025-07-04
186,Matthew,wedwards@example.net,Bronze,3374,2026-02-01,New,+1-303-717-6592x35836,2025-02-23
187,Donald,nchurch@example.com,Silver,3981,2026-02-01,AR,302.400.6934x625,2025-03-04
188,Jason,keyralph@example.org,Gold,2150,2026-02-01,AR,262-647-6743x51150,2025-03-02
189,Amanda,morrowdeanna@example.com,Silver,1329,2026-02-01,AR,+1-523-743-3199x3302,2025-10-22
190,Tammy,devonrobinson@example.com,Silver,1358,2026-02-01,New,001-430-574-8431x1328,2024-09-22
191,Alexis,johnsoneric@example.org,Bronze,2017,2026-02-01,Loyal,8559220110,2024-11-15
192,James,kyle22@example.net,Silver,1358,2026-02-01,Loyal,001-663-292-2722x044,2024-10-10
193,John,qcarney@example.com,Bronze,3177,2026-02-01,New,001-303-809-2726x571,2025-01-29
194,Kelsey,carolynjacobs@example.com,Silver,4892,2026-02-01,Loyal,(809)979-3659x0178,2024-05-18
195,Christian,vanderson@example.com,Bronze,3472,2026-02-01,AR,(549)964-9772x69604,2024-04-04
196,Karen,beth95@example.org,Silver,3031,2026-02-01,HS,757.476.0170,2024-08-02
197,Andrew,mccormickann@example.com,Platinum,4300,2026-02-01,AR,(484)391-6988x2450,2026-01-31
198,Lori,turnerscott@example.com,Silver,3823,2026-02-01,New,+1-600-571-2471x438,2024-04-13
199,Erica,kimberlybell@example.net,Bronze,760,2026-02-01,New,904.420.3724,2025-06-14
200,Denise,shawn29@example.com,Bronze,3445,2026-02-01,Loyal,593-595-0635x8540,2025-08-21
